Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00        1     0.00     0.00  __swhatbuf
  0.00      0.01     0.00        1     0.00     0.00  __swsetup
  0.00      0.01     0.00        1     0.00     0.00  __ultoa
  0.00      0.01     0.00        1     0.00     0.00  _libc_init
  0.00      0.01     0.00        1     0.00     0.00  a0ialloc
  0.00      0.01     0.00        1     0.00     0.00  arena_dalloc_junk_small_impl
  0.00      0.01     0.00        1     0.00     0.00  arena_init_locked
  0.00      0.01     0.00        1     0.00     0.00  arena_new_create_background_thread
  0.00      0.01     0.00        1     0.00     0.00  exit
  0.00      0.01     0.00        1     0.00     0.00  getpagesize
  0.00      0.01     0.00        1     0.00     0.00  ioctl
  0.00      0.01     0.00        1     0.00     0.00  isatty
  0.00      0.01     0.00        1     0.00     0.00  je_arena_boot
  0.00      0.01     0.00        1     0.00     0.00  je_arena_choose_hard
  0.00      0.01     0.00        1     0.00     0.00  je_arena_extent_alloc_large
  0.00      0.01     0.00        1     0.00     0.00  je_arena_init
  0.00      0.01     0.00        1     0.00     0.00  je_arena_malloc_hard
  0.00      0.01     0.00        1     0.00     0.00  je_arena_new
  0.00      0.01     0.00        1     0.00     0.00  je_arena_palloc
  0.00      0.01     0.00        1     0.00     0.00  je_arena_set
  0.00      0.01     0.00        1     0.00     0.00  je_arena_tdata_get_hard
  0.00      0.01     0.00        1     0.00     0.00  je_background_thread_boot0
  0.00      0.01     0.00        1     0.00     0.00  je_background_thread_boot1
  0.00      0.01     0.00        1     0.00     0.00  je_base_boot
  0.00      0.01     0.00        1     0.00     0.00  je_base_new
  0.00      0.01     0.00        1     0.00     0.00  je_ctl_boot
  0.00      0.01     0.00        1     0.00     0.00  je_extent_avail_new
  0.00      0.01     0.00        1     0.00     0.00  je_extent_boot
  0.00      0.01     0.00        1     0.00     0.00  je_extent_dss_boot
  0.00      0.01     0.00        1     0.00     0.00  je_extent_dss_prec_get
  0.00      0.01     0.00        1     0.00     0.00  je_large_malloc
  0.00      0.01     0.00        1     0.00     0.00  je_large_palloc
  0.00      0.01     0.00        1     0.00     0.00  je_malloc_initialized
  0.00      0.01     0.00        1     0.00     0.00  je_malloc_mutex_boot
  0.00      0.01     0.00        1     0.00     1.67  je_malloc_tsd_boot0
  0.00      0.01     0.00        1     0.00     0.00  je_mutex_pool_init
  0.00      0.01     0.00        1     0.00     0.00  je_pages_boot
  0.00      0.01     0.00        1     0.00     0.00  je_rtree_new
  0.00      0.01     0.00        1     0.00     0.00  je_tcache_arena_associate
  0.00      0.01     0.00        1     0.00     0.00  je_tcache_boot
  0.00      0.01     0.00        1     0.00     5.00  je_tsd_tcache_data_init
  0.00      0.01     0.00        1     0.00     5.00  je_tsd_tcache_enabled_data_init
  0.00      0.01     0.00        1     0.00     0.00  jemalloc_constructor
  0.00      0.01     0.00        1     0.00     0.00  madvise
  0.00      0.01     0.00        1     0.00     5.00  main
  0.00      0.01     0.00        1     0.00     0.00  malloc_conf_init
  0.00      0.01     0.00        1     0.00     0.00  malloc_init_hard_a0_locked
  0.00      0.01     0.00        1     0.00     0.00  memchr
  0.00      0.01     0.00        1     0.00     5.00  printf
  0.00      0.01     0.00        1     0.00     0.00  profil
  0.00      0.01     0.00        1     0.00     0.00  pthread_atfork
  0.00      0.01     0.00        1     0.00     0.00  readlink
  0.00      0.01     0.00        1     0.00     0.00  sbrk
  0.00      0.01     0.00        1     0.00     0.00  snprintf
  0.00      0.01     0.00        1     0.00     0.00  tcgetattr
  0.00      0.01     0.00        1     0.00     5.00  vfprintf
  0.00      0.01     0.00        1     0.00     0.00  vsnprintf
  0.00      0.01     0.00        1     0.00     0.00  vsnprintf_l

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 100.00% of 0.01 seconds

index % time    self  children    called     name
                0.01    0.00       1/2           malloc_init_hard <cycle 1> [4]
                0.01    0.00       1/2           je_tsd_tcache_data_init [6]
[1]    100.0    0.01    0.00       2         je_malloc_tsd_boot1 [1]
                0.00    0.00       1/4           je_tsd_cleanup [54]
                0.00    0.00       1/16          memset [32]
-----------------------------------------------
[2]    100.0    0.00    0.01       2+5       <cycle 1 as a whole> [2]
                0.00    0.01       3             malloc_init_hard <cycle 1> [4]
                0.00    0.00       3             malloc <cycle 1> [13]
                0.00    0.00       1             pthread_atfork <cycle 1> [121]
-----------------------------------------------
                                                 <spontaneous>
[3]    100.0    0.00    0.01                 ___start [3]
                0.00    0.00       1/1           main [9]
                0.00    0.00       1/2           malloc_init_hard <cycle 1> [4]
                0.00    0.00       2/2           __cxa_atexit_internal [910]
                0.00    0.00       2/2           atexit [67]
                0.00    0.00       1/1           exit [84]
                0.00    0.00       1/1           _libc_init [924]
                0.00    0.00       1/1           jemalloc_constructor [115]
-----------------------------------------------
                                   2             malloc <cycle 1> [13]
                0.00    0.00       1/2           ___start [3]
[4]     66.7    0.00    0.01       3         malloc_init_hard <cycle 1> [4]
                0.01    0.00       1/2           je_malloc_tsd_boot1 [1]
                0.00    0.00       1/1           je_malloc_tsd_boot0 [14]
                0.00    0.00       8/871         __libc_mutex_unlock_stub [895]
                0.00    0.00       1/1           malloc_init_hard_a0_locked [118]
                0.00    0.00       1/2           sysconf [79]
                0.00    0.00       1/1           je_background_thread_boot0 [97]
                0.00    0.00       1/1           je_background_thread_boot1 [98]
                0.00    0.00       1/1           je_malloc_mutex_boot [109]
                0.00    0.00       1/4           je_tsd_cleanup [54]
                0.00    0.00       1/2           je_tsd_slow_update [77]
                                   1             pthread_atfork <cycle 1> [121]
-----------------------------------------------
                0.00    0.00       1/3           je_malloc_tsd_boot0 [14]
                0.00    0.00       2/3           malloc <cycle 1> [13]
[5]     50.0    0.00    0.01       3         je_tsd_fetch_slow [5]
                0.00    0.01       1/1           je_tsd_tcache_enabled_data_init [7]
                0.00    0.00       1/4           je_tsd_cleanup [54]
                0.00    0.00       1/1           __libc_thr_setspecific [919]
                0.00    0.00       1/7           je_rtree_ctx_data_init [49]
-----------------------------------------------
                0.00    0.01       1/1           je_tsd_tcache_enabled_data_init [7]
[6]     50.0    0.00    0.01       1         je_tsd_tcache_data_init [6]
                0.01    0.00       1/2           je_malloc_tsd_boot1 [1]
                0.00    0.00       1/1           je_arena_palloc [94]
                0.00    0.00       1/1           je_malloc_initialized [108]
                0.00    0.00       1/871         __libc_mutex_unlock_stub [895]
                0.00    0.00       1/1           je_tcache_arena_associate [113]
-----------------------------------------------
                0.00    0.01       1/1           je_tsd_fetch_slow [5]
[7]     50.0    0.00    0.01       1         je_tsd_tcache_enabled_data_init [7]
                0.00    0.01       1/1           je_tsd_tcache_data_init [6]
                0.00    0.00       1/4           je_tsd_cleanup [54]
                0.00    0.00       1/2           je_tsd_slow_update [77]
-----------------------------------------------
[8]     50.0    0.00    0.00       1+5       <cycle 2 as a whole> [8]
                0.00    0.00       1             __smakebuf <cycle 2> [12]
                0.00    0.00       2             __vfprintf_unlocked_l <cycle 2> [913]
                0.00    0.00       1             __swsetup <cycle 2> [922]
                0.00    0.00       1             snprintf <cycle 2> [124]
                0.00    0.00       1             vsnprintf_l <cycle 2> [127]
-----------------------------------------------
                0.00    0.00       1/1           ___start [3]
[9]     50.0    0.00    0.00       1         main [9]
                0.00    0.00       1/1           printf [10]
-----------------------------------------------
                0.00    0.00       1/1           main [9]
[10]    50.0    0.00    0.00       1         printf [10]
                0.00    0.00       1/1           vfprintf [11]
-----------------------------------------------
                0.00    0.00       1/1           printf [10]
[11]    50.0    0.00    0.00       1         vfprintf [11]
                0.00    0.00       1/1           __vfprintf_unlocked_l <cycle 2> [913]
                0.00    0.00       1/1           __flockfile_internal [915]
                0.00    0.00       1/1           __funlockfile_internal [917]
-----------------------------------------------
                                   1             __swsetup <cycle 2> [922]
[12]    50.0    0.00    0.00       1         __smakebuf <cycle 2> [12]
                0.00    0.00       1/2           malloc <cycle 1> [13]
                0.00    0.00       2/3           getenv [56]
                0.00    0.00       1/1           __swhatbuf [921]
                0.00    0.00       1/1           isatty [87]
                                   1             snprintf <cycle 2> [124]
-----------------------------------------------
                                   2             pthread_atfork <cycle 1> [121]
                0.00    0.00       1/2           __smakebuf <cycle 2> [12]
[13]    33.3    0.00    0.00       3         malloc <cycle 1> [13]
                0.00    0.00       2/3           je_tsd_fetch_slow [5]
                0.00    0.00       2/2           je_tcache_alloc_small_hard [76]
                0.00    0.00       1/1           je_arena_choose_hard [89]
                                   2             malloc_init_hard <cycle 1> [4]
-----------------------------------------------
                0.00    0.00       1/1           malloc_init_hard <cycle 1> [4]
[14]    16.7    0.00    0.00       1         je_malloc_tsd_boot0 [14]
                0.00    0.00       1/3           je_tsd_fetch_slow [5]
                0.00    0.00       1/1           __libc_thr_keycreate_stub [918]
-----------------------------------------------
                0.00    0.00      12/1006        arena_bin_malloc_hard [47]
                0.00    0.00     994/1006        base_alloc_impl [29]
[15]     0.0    0.00    0.00    1006         je_extent_heap_remove_first [15]
-----------------------------------------------
                0.00    0.00      36/868         je_bin_init [24]
                0.00    0.00     232/868         je_base_new [100]
                0.00    0.00     600/868         je_extents_init [57]
[16]     0.0    0.00    0.00     868         je_extent_heap_new [16]
-----------------------------------------------
                0.00    0.00       1/629         je_arena_new [93]
                0.00    0.00       2/629         background_thread_create_signals_masked.constprop.19 [68]
                0.00    0.00       2/629         je_background_thread_boot1 [98]
                0.00    0.00       2/629         arena_decay_deadline_init [65]
                0.00    0.00       4/629         arena_decay_reinit [66]
                0.00    0.00     618/629         mutex_prof_data_init [19]
[17]     0.0    0.00    0.00     629         je_nstime_init [17]
-----------------------------------------------
                0.00    0.00       1/309         malloc_init_hard_a0_locked [118]
                0.00    0.00       1/309         je_tcache_boot [114]
                0.00    0.00       1/309         je_extent_boot [103]
                0.00    0.00       1/309         je_ctl_boot [101]
                0.00    0.00       1/309         je_base_new [100]
                0.00    0.00       3/309         je_extents_init [57]
                0.00    0.00       3/309         je_background_thread_boot1 [98]
                0.00    0.00       6/309         je_arena_new [93]
                0.00    0.00      36/309         je_bin_init [24]
                0.00    0.00     256/309         je_mutex_pool_init [110]
[18]     0.0    0.00    0.00     309         je_malloc_mutex_init [18]
                0.00    0.00     618/871         __libc_mutex_unlock_stub [895]
                0.00    0.00     618/618         __libc_mutexattr_destroy [896]
                0.00    0.00     309/309         mutex_prof_data_init [19]
                0.00    0.00     309/309         __libc_mutexattr_settype_stub [898]
                0.00    0.00     309/347         __libc_mutex_init [897]
-----------------------------------------------
                0.00    0.00     309/309         je_malloc_mutex_init [18]
[19]     0.0    0.00    0.00     309         mutex_prof_data_init [19]
                0.00    0.00     618/629         je_nstime_init [17]
-----------------------------------------------
                0.00    0.00      51/51          __getenvslot [906]
[20]     0.0    0.00    0.00      51         strncmp [20]
-----------------------------------------------
                0.00    0.00      13/39          je_extent_alloc_wrapper [45]
                0.00    0.00      26/39          je_extents_alloc [26]
[21]     0.0    0.00    0.00      39         extent_recycle [21]
                0.00    0.00      78/871         __libc_mutex_unlock_stub [895]
                0.00    0.00      39/39          extent_size_quantize_ceil [22]
                0.00    0.00      13/13          extent_hook_post_reentrancy [37]
                0.00    0.00       3/7           je_rtree_ctx_data_init [49]
-----------------------------------------------
                0.00    0.00      39/39          extent_recycle [21]
[22]     0.0    0.00    0.00      39         extent_size_quantize_ceil [22]
                0.00    0.00      39/39          extent_size_quantize_floor [23]
-----------------------------------------------
                0.00    0.00      39/39          extent_size_quantize_ceil [22]
[23]     0.0    0.00    0.00      39         extent_size_quantize_floor [23]
-----------------------------------------------
                0.00    0.00      36/36          je_arena_new [93]
[24]     0.0    0.00    0.00      36         je_bin_init [24]
                0.00    0.00      36/309         je_malloc_mutex_init [18]
                0.00    0.00      36/868         je_extent_heap_new [16]
-----------------------------------------------
                0.00    0.00       1/36          malloc_init_hard_a0_locked [118]
                0.00    0.00      35/36          je_arena_boot [88]
[25]     0.0    0.00    0.00      36         je_div_init [25]
-----------------------------------------------
                0.00    0.00       2/26          je_arena_extent_alloc_large [90]
                0.00    0.00      24/26          arena_bin_malloc_hard [47]
[26]     0.0    0.00    0.00      26         je_extents_alloc [26]
                0.00    0.00      26/39          extent_recycle [21]
-----------------------------------------------
                0.00    0.00       1/18          je_base_new [100]
                0.00    0.00      17/18          base_alloc_impl [29]
[27]     0.0    0.00    0.00      18         base_extent_bump_alloc_post [27]
                0.00    0.00      18/18          je_extent_heap_insert [28]
-----------------------------------------------
                0.00    0.00      18/18          base_extent_bump_alloc_post [27]
[28]     0.0    0.00    0.00      18         je_extent_heap_insert [28]
-----------------------------------------------
                0.00    0.00       1/17          je_tcache_boot [114]
                0.00    0.00       1/17          je_rtree_leaf_elm_lookup_hard [53]
                0.00    0.00       1/17          je_background_thread_boot1 [98]
                0.00    0.00       1/17          je_arena_new [93]
                0.00    0.00      13/17          je_base_alloc_extent [42]
[29]     0.0    0.00    0.00      17         base_alloc_impl [29]
                0.00    0.00     994/1006        je_extent_heap_remove_first [15]
                0.00    0.00      36/871         __libc_mutex_unlock_stub [895]
                0.00    0.00      17/18          base_extent_bump_alloc_post [27]
                0.00    0.00       1/2           base_block_alloc [69]
-----------------------------------------------
                0.00    0.00      17/17          os_pages_map [31]
[30]     0.0    0.00    0.00      17         mmap [30]
                0.00    0.00      17/17          __mmap [900]
-----------------------------------------------
                0.00    0.00       1/17          je_pages_boot [111]
                0.00    0.00      16/17          je_pages_map [35]
[31]     0.0    0.00    0.00      17         os_pages_map [31]
                0.00    0.00      17/17          mmap [30]
-----------------------------------------------
                0.00    0.00       1/16          je_malloc_tsd_boot1 [1]
                0.00    0.00       3/16          je_extents_init [57]
                0.00    0.00      12/16          je_bitmap_init [33]
[32]     0.0    0.00    0.00      16         memset [32]
-----------------------------------------------
                0.00    0.00       3/15          je_extents_init [57]
                0.00    0.00      12/15          arena_bin_malloc_hard [47]
[33]     0.0    0.00    0.00      15         je_bitmap_init [33]
                0.00    0.00      12/16          memset [32]
-----------------------------------------------
                0.00    0.00       2/15          base_block_alloc [69]
                0.00    0.00      13/15          extent_alloc_core [36]
[34]     0.0    0.00    0.00      15         je_extent_alloc_mmap [34]
                0.00    0.00      15/15          je_pages_map [35]
-----------------------------------------------
                0.00    0.00      15/15          je_extent_alloc_mmap [34]
[35]     0.0    0.00    0.00      15         je_pages_map [35]
                0.00    0.00      16/17          os_pages_map [31]
                0.00    0.00       2/3           munmap [59]
-----------------------------------------------
                0.00    0.00      13/13          je_extent_alloc_wrapper [45]
[36]     0.0    0.00    0.00      13         extent_alloc_core [36]
                0.00    0.00      13/15          je_extent_alloc_mmap [34]
-----------------------------------------------
                0.00    0.00      13/13          extent_recycle [21]
[37]     0.0    0.00    0.00      13         extent_hook_post_reentrancy [37]
                0.00    0.00      13/13          je_base_extent_hooks_get [43]
-----------------------------------------------
                0.00    0.00      13/13          je_extent_alloc_wrapper [45]
[38]     0.0    0.00    0.00      13         extent_register_impl.constprop.65 [38]
                0.00    0.00      26/871         __libc_mutex_unlock_stub [895]
                0.00    0.00      13/13          extent_rtree_leaf_elms_lookup [39]
                0.00    0.00      13/13          extent_rtree_write_acquired.constprop.66 [40]
                0.00    0.00      12/12          extent_interior_register [48]
                0.00    0.00       1/7           je_rtree_ctx_data_init [49]
-----------------------------------------------
                0.00    0.00      13/13          extent_register_impl.constprop.65 [38]
[39]     0.0    0.00    0.00      13         extent_rtree_leaf_elms_lookup [39]
                0.00    0.00       2/4           je_rtree_leaf_elm_lookup_hard [53]
-----------------------------------------------
                0.00    0.00      13/13          extent_register_impl.constprop.65 [38]
[40]     0.0    0.00    0.00      13         extent_rtree_write_acquired.constprop.66 [40]
-----------------------------------------------
                0.00    0.00      13/13          je_extent_alloc_wrapper [45]
[41]     0.0    0.00    0.00      13         je_arena_extent_sn_next [41]
-----------------------------------------------
                0.00    0.00      13/13          je_extent_alloc_wrapper [45]
[42]     0.0    0.00    0.00      13         je_base_alloc_extent [42]
                0.00    0.00      13/17          base_alloc_impl [29]
-----------------------------------------------
                0.00    0.00      13/13          extent_hook_post_reentrancy [37]
[43]     0.0    0.00    0.00      13         je_base_extent_hooks_get [43]
-----------------------------------------------
                0.00    0.00      13/13          je_extent_alloc_wrapper [45]
[44]     0.0    0.00    0.00      13         je_extent_alloc [44]
                0.00    0.00      26/871         __libc_mutex_unlock_stub [895]
                0.00    0.00      13/13          je_extent_avail_first [46]
-----------------------------------------------
                0.00    0.00       1/13          je_arena_extent_alloc_large [90]
                0.00    0.00      12/13          arena_bin_malloc_hard [47]
[45]     0.0    0.00    0.00      13         je_extent_alloc_wrapper [45]
                0.00    0.00      26/871         __libc_mutex_unlock_stub [895]
                0.00    0.00      13/39          extent_recycle [21]
                0.00    0.00      13/13          je_base_alloc_extent [42]
                0.00    0.00      13/13          je_extent_alloc [44]
                0.00    0.00      13/13          je_arena_extent_sn_next [41]
                0.00    0.00      13/13          extent_register_impl.constprop.65 [38]
                0.00    0.00      13/13          extent_alloc_core [36]
-----------------------------------------------
                0.00    0.00      13/13          je_extent_alloc [44]
[46]     0.0    0.00    0.00      13         je_extent_avail_first [46]
-----------------------------------------------
